Year,Month,M,Day,Start Day,Date,Mark,Gold,Gold Price,ATH,% from ATH
1918,January,1,,1,1918-01-01,10,8,1.25,1.25,
1918,February,2,,1,1918-02-01,10,8,1.25,1.25,0.00%
1918,March,3,,1,1918-03-01,10,8,1.25,1.25,0.00%
1918,April,4,,1,1918-04-01,10,8,1.25,1.25,0.00%
1918,May,5,,1,1918-05-01,10,8,1.25,1.25,0.00%
1918,June,6,,1,1918-06-01,10,8,1.25,1.25,0.00%
1918,July,7,,1,1918-07-01,10,7.14,1.40,1.40,12.04%
1918,August,8,,1,1918-08-01,10,6.9,1.45,1.45,3.48%
1918,September,9,,1,1918-09-01,10,6.45,1.55,1.55,6.98%
1918,October,10,,1,1918-10-01,10,6.45,1.55,1.55,0.00%
1918,November,11,,1,1918-11-01,10,5.71,1.75,1.75,12.96%
1918,December,12,,1,1918-12-01,10,5,2.00,2.00,14.20%
1919,January,1,,1,1919-01-01,10,5.13,1.95,2.00,-2.53%
1919,February,2,,1,1919-02-01,10,4.65,2.15,2.15,7.53%
1919,March,3,,1,1919-03-01,10,4,2.50,2.50,16.25%
1919,April,4,,1,1919-04-01,10,3.41,2.93,2.93,17.30%
1919,May,5,,1,1919-05-01,10,3.32,3.01,3.01,2.71%
1919,June,6,,1,1919-06-01,10,3.11,3.22,3.22,6.75%
1919,July,7,,1,1919-07-01,10,2.86,3.50,3.50,8.74%
1919,August,8,,1,1919-08-01,10,2.29,4.37,4.37,24.89%
1919,September,9,,1,1919-09-01,10,1.88,5.32,5.32,21.81%
1919,October,10,,1,1919-10-01,10,1.66,6.02,6.02,13.25%
1919,November,11,,1,1919-11-01,10,1.26,7.94,7.94,31.75%
1919,December,12,,1,1919-12-01,10,1.04,9.62,9.62,21.15%
1920,January,1,1-10,1,1920-01-01,100,9.67,10.34,10.34,7.55%
1920,January,1,11-20,11,1920-01-11,100,7.75,12.90,12.90,24.77%
1920,January,1,21-31,21,1920-01-21,100,5.76,17.36,17.36,34.55%
1920,February,2,1-10,1,1920-02-01,100,4.9,20.41,20.41,17.55%
1920,February,2,11-20,11,1920-02-11,100,5.06,19.76,20.41,-3.16%
1920,February,2,21-29,21,1920-02-21,100,4.86,20.58,20.58,0.82%
1920,March,3,1-10,1,1920-03-01,100,4.87,20.53,20.58,-0.21%
1920,March,3,11-20,11,1920-03-11,100,6.12,16.34,20.58,-20.59%
1920,March,3,21-31,21,1920-03-21,100,5.79,17.27,20.58,-16.06%
1920,April,4,1-10,1,1920-04-01,100,7,14.29,20.58,-30.57%
1920,April,4,11-20,11,1920-04-11,100,6.99,14.31,20.58,-30.47%
1920,April,4,21-30,21,1920-04-21,100,7.1,14.08,20.58,-31.55%
1920,May,5,1-10,1,1920-05-01,100,7.86,12.72,20.58,-38.17%
1920,May,5,11-20,11,1920-05-11,100,8.79,11.38,20.58,-44.71%
1920,May,5,21-31,21,1920-05-21,100,11.01,9.08,20.58,-55.86%
1920,June,6,1-10,1,1920-06-01,100,10.32,9.69,20.58,-52.91%
1920,June,6,11-20,11,1920-06-11,100,10.64,9.40,20.58,-54.32%
1920,June,6,21-31,21,1920-06-21,100,11.19,8.94,20.58,-56.57%
1920,July,7,1-10,1,1920-07-01,100,11.1,9.01,20.58,-56.22%
1920,July,7,11-20,11,1920-07-11,100,10.91,9.17,20.58,-55.45%
1920,July,7,21-31,21,1920-07-21,100,10.05,9.95,20.58,-51.64%
1920,August,8,1-10,1,1920-08-01,100,9.23,10.83,20.58,-47.35%
1920,August,8,11-20,11,1920-08-11,100,8.83,11.33,20.58,-44.96%
1920,August,8,21-31,21,1920-08-21,100,8.4,11.90,20.58,-42.14%
1920,September,9,1-10,1,1920-09-01,100,8.24,12.14,20.58,-41.02%
1920,September,9,11-20,11,1920-09-11,100,6.8,14.71,20.58,-28.53%
1920,September,9,21-30,21,1920-09-21,100,6.8,14.71,20.58,-28.53%
1920,October,10,1-10,1,1920-10-01,100,6.87,14.56,20.58,-29.26%
1920,October,10,11-20,11,1920-10-11,100,6.39,15.65,20.58,-23.94%
1920,October,10,21-31,21,1920-10-21,100,6.22,16.08,20.58,-21.86%
1920,November,11,1-10,1,1920-11-01,100,5.57,17.95,20.58,-12.75%
1920,November,11,11-20,11,1920-11-11,100,5.83,17.15,20.58,-16.64%
1920,November,11,21-30,21,1920-11-21,100,6.65,15.04,20.58,-26.92%
1920,December,12,1-10,1,1920-12-01,100,6.38,15.67,20.58,-23.82%
1920,December,12,11-20,11,1920-12-11,100,6.27,15.95,20.58,-22.49%
1920,December,12,21-31,21,1920-12-21,100,6.2,16.13,20.58,-21.61%
1921,January,1,1-10,1,1921-01-01,100,6.05,16.53,20.58,-19.67%
1921,January,1,11-20,11,1921-01-11,100,6.62,15.11,20.58,-26.59%
1921,January,1,21-31,21,1921-01-21,100,7.41,13.50,20.58,-34.41%
1921,February,2,1-10,1,1921-02-01,100,6.9,14.49,20.58,-29.57%
1921,February,2,11-20,11,1921-02-11,100,7.26,13.77,20.58,-33.06%
1921,February,2,21-28,21,1921-02-21,100,7.01,14.27,20.58,-30.67%
1921,March,3,1-10,1,1921-03-01,100,7.01,14.27,20.58,-30.67%
1921,March,3,11-20,11,1921-03-11,100,7.09,14.10,20.58,-31.45%
1921,March,3,21-31,21,1921-03-21,100,7.12,14.04,20.58,-31.74%
1921,April,4,1-10,1,1921-04-01,100,7.24,13.81,20.58,-32.87%
1921,April,4,11-20,11,1921-04-11,100,7.15,13.99,20.58,-32.03%
1921,April,4,21-30,21,1921-04-21,100,6.77,14.77,20.58,-28.21%
1921,May,5,1-10,1,1921-05-01,100,6.77,14.77,20.58,-28.21%
1921,May,5,11-20,11,1921-05-11,100,7.42,13.48,20.58,-34.50%
1921,May,5,21-31,21,1921-05-21,100,7.32,13.66,20.58,-33.61%
1921,June,6,1-10,1,1921-06-01,100,6.88,14.53,20.58,-29.36%
1921,June,6,11-20,11,1921-06-11,100,6.61,15.13,20.58,-26.48%
1921,June,6,21-30,21,1921-06-21,100,6.39,15.65,20.58,-23.94%
1921,July,7,1-10,1,1921-07-01,100,6.34,15.77,20.58,-23.34%
1921,July,7,11-20,11,1921-07-11,100,6.25,16.00,20.58,-22.24%
1921,July,7,21-31,21,1921-07-21,100,5.88,17.01,20.58,-17.35%
1921,August,8,1-10,1,1921-08-01,100,5.32,18.80,20.58,-8.65%
1921,August,8,11-20,11,1921-08-11,100,4.96,20.16,20.58,-2.02%
1921,August,8,21-31,21,1921-08-21,100,5.01,19.96,20.58,-2.99%
1921,September,9,1-10,1,1921-09-01,100,4.82,20.75,20.75,0.83%
1921,September,9,11-20,11,1921-09-11,100,4.31,23.20,23.20,11.83%
1921,September,9,21-30,21,1921-09-21,100,4.07,24.57,24.57,5.90%
1921,October,10,1-10,1,1921-10-01,100,3.88,25.77,25.77,4.90%
1921,October,10,11-20,11,1921-10-11,100,3.23,30.96,30.96,20.12%
1921,October,10,21-31,21,1921-10-21,100,2.98,33.56,33.56,8.39%
1921,November,11,1-10,1,1921-11-01,100,2.24,44.64,44.64,33.04%
1921,November,11,11-20,11,1921-11-11,100,2.06,48.54,48.54,8.74%
1921,November,11,21-30,21,1921-11-21,100,1.92,52.08,52.08,7.29%
1921,December,12,1-10,1,1921-12-01,100,2.37,42.19,52.08,-18.99%
1921,December,12,11-20,11,1921-12-11,100,2.56,39.06,52.08,-25.00%
1921,December,12,21-31,21,1921-12-21,100,2.55,39.22,52.08,-24.71%
1922,January,1,1-10,1,1922-01-01,100,2.52,39.68,52.08,-23.81%
1922,January,1,11-20,11,1922-01-11,100,2.5,40.00,52.08,-23.20%
1922,January,1,21-31,21,1922-01-21,100,2.28,43.86,52.08,-15.79%
1922,February,2,1-10,1,1922-02-01,100,2.3,43.48,52.08,-16.52%
1922,February,2,11-20,11,1922-02-11,100,2.24,44.64,52.08,-14.29%
